Sample	Filename	sequence_length_distribution	overrepresented_sequences	sequence_duplication_levels	per_sequence_gc_content	File type	per_base_n_content	per_tile_sequence_quality	Encoding	adapter_content	total_deduplicated_percentage	kmer_content	Sequences flagged as poor quality	per_base_sequence_content	avg_sequence_length	Total Sequences	basic_statistics	per_base_sequence_quality	Sequence length	%GC	per_sequence_quality_scores
2-Swift2S-100ng-2_S6_L008_R2_001	2-Swift2S-100ng-2_S6_L008_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	84.08358283559957	fail	0.0	warn	151.0	41890051.0	pass	pass	151.0	42.0	pass
20-Quanta-100ng-4_S12_L005_R1_001	20-Quanta-100ng-4_S12_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	90.75448593747159	fail	0.0	fail	151.0	24471218.0	pass	pass	151.0	42.0	pass
20-Quanta-100ng-4_S12_L005_R2_001	20-Quanta-100ng-4_S12_L005_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.19536981359207	fail	0.0	fail	151.0	24471218.0	pass	pass	151.0	42.0	pass
20-Quanta-100ng-4_S12_L006_R1_001	20-Quanta-100ng-4_S12_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	91.10282756470632	fail	0.0	fail	151.0	24080687.0	pass	pass	151.0	42.0	pass
20-Quanta-100ng-4_S12_L006_R2_001	20-Quanta-100ng-4_S12_L006_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.49819183507967	fail	0.0	fail	151.0	24080687.0	pass	pass	151.0	42.0	pass
20-Quanta-100ng-4_S12_L007_R1_001	20-Quanta-100ng-4_S12_L007_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	90.64977667073033	fail	0.0	fail	151.0	24480096.0	pass	pass	151.0	42.0	pass
20-Quanta-100ng-4_S12_L007_R2_001	20-Quanta-100ng-4_S12_L007_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	92.8251745425369	fail	0.0	fail	151.0	24480096.0	pass	pass	151.0	42.0	pass
20-Quanta-100ng-4_S12_L008_R1_001	20-Quanta-100ng-4_S12_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	91.30340551042949	fail	0.0	fail	151.0	23409807.0	pass	pass	151.0	42.0	pass
20-Quanta-100ng-4_S12_L008_R2_001	20-Quanta-100ng-4_S12_L008_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	93.2319903284276	fail	0.0	fail	151.0	23409807.0	pass	pass	151.0	42.0	pass
21-Quanta-10ng-1_S13_L005_R1_001	21-Quanta-10ng-1_S13_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	85.96929477108614	fail	0.0	fail	151.0	84308754.0	pass	pass	151.0	42.0	pass
21-Quanta-10ng-1_S13_L005_R2_001	21-Quanta-10ng-1_S13_L005_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	86.52179944000629	fail	0.0	fail	151.0	84308754.0	pass	pass	151.0	42.0	pass
21-Quanta-10ng-1_S13_L006_R1_001	21-Quanta-10ng-1_S13_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	86.26728971486301	fail	0.0	fail	151.0	82203875.0	pass	pass	151.0	42.0	pass
21-Quanta-10ng-1_S13_L006_R2_001	21-Quanta-10ng-1_S13_L006_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	86.57637815093872	fail	0.0	fail	151.0	82203875.0	pass	pass	151.0	42.0	pass
21-Quanta-10ng-1_S13_L007_R1_001	21-Quanta-10ng-1_S13_L007_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	85.94322673188212	fail	0.0	fail	151.0	86276650.0	pass	pass	151.0	42.0	pass
21-Quanta-10ng-1_S13_L007_R2_001	21-Quanta-10ng-1_S13_L007_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	87.09930386136936	fail	0.0	fail	151.0	86276650.0	pass	pass	151.0	42.0	pass
21-Quanta-10ng-1_S13_L008_R1_001	21-Quanta-10ng-1_S13_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	86.1739570536931	fail	0.0	fail	151.0	79912882.0	pass	pass	151.0	42.0	pass
21-Quanta-10ng-1_S13_L008_R2_001	21-Quanta-10ng-1_S13_L008_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	87.26632614616193	fail	0.0	fail	151.0	79912882.0	pass	pass	151.0	42.0	pass
22-Quanta-10ng-2_S14_L005_R1_001	22-Quanta-10ng-2_S14_L005_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	88.37408014596129	fail	0.0	fail	151.0	70012120.0	pass	pass	151.0	41.0	pass
22-Quanta-10ng-2_S14_L005_R2_001	22-Quanta-10ng-2_S14_L005_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	88.9119864826141	fail	0.0	fail	151.0	70012120.0	pass	pass	151.0	41.0	pass
22-Quanta-10ng-2_S14_L006_R1_001	22-Quanta-10ng-2_S14_L006_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	88.56354390659796	fail	0.0	fail	151.0	68075076.0	pass	pass	151.0	41.0	pass
22-Quanta-10ng-2_S14_L006_R2_001	22-Quanta-10ng-2_S14_L006_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	88.97215863790099	fail	0.0	fail	151.0	68075076.0	pass	pass	151.0	41.0	pass
22-Quanta-10ng-2_S14_L007_R1_001	22-Quanta-10ng-2_S14_L007_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	88.12960519499286	fail	0.0	fail	151.0	71587704.0	pass	pass	151.0	41.0	pass
22-Quanta-10ng-2_S14_L007_R2_001	22-Quanta-10ng-2_S14_L007_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	89.31797773854687	fail	0.0	fail	151.0	71587704.0	pass	pass	151.0	41.0	pass
22-Quanta-10ng-2_S14_L008_R1_001	22-Quanta-10ng-2_S14_L008_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	88.36962090026155	fail	0.0	fail	151.0	66256177.0	pass	pass	151.0	41.0	pass
22-Quanta-10ng-2_S14_L008_R2_001	22-Quanta-10ng-2_S14_L008_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	89.2956098248583	fail	0.0	fail	151.0	66256177.0	pass	pass	151.0	41.0	pass
23-Quanta-10ng-3_S15_L005_R1_001	23-Quanta-10ng-3_S15_L005_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	87.85664534780925	fail	0.0	warn	151.0	77685031.0	pass	pass	151.0	41.0	pass
23-Quanta-10ng-3_S15_L005_R2_001	23-Quanta-10ng-3_S15_L005_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	88.50853584289662	fail	0.0	fail	151.0	77685031.0	pass	pass	151.0	42.0	pass
23-Quanta-10ng-3_S15_L006_R1_001	23-Quanta-10ng-3_S15_L006_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	87.97116010945733	fail	0.0	fail	151.0	76259714.0	pass	pass	151.0	41.0	pass
23-Quanta-10ng-3_S15_L006_R2_001	23-Quanta-10ng-3_S15_L006_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	88.4763206161736	fail	0.0	fail	151.0	76259714.0	pass	pass	151.0	42.0	pass
23-Quanta-10ng-3_S15_L007_R1_001	23-Quanta-10ng-3_S15_L007_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	87.6504605042824	fail	0.0	warn	151.0	78686789.0	pass	pass	151.0	41.0	pass
23-Quanta-10ng-3_S15_L007_R2_001	23-Quanta-10ng-3_S15_L007_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	88.98880509731589	fail	0.0	fail	151.0	78686789.0	pass	pass	151.0	42.0	pass
23-Quanta-10ng-3_S15_L008_R1_001	23-Quanta-10ng-3_S15_L008_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	87.7773668837547	fail	0.0	fail	151.0	74400978.0	pass	pass	151.0	41.0	pass
23-Quanta-10ng-3_S15_L008_R2_001	23-Quanta-10ng-3_S15_L008_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	88.86287091233504	fail	0.0	fail	151.0	74400978.0	pass	pass	151.0	42.0	pass
24-Quanta-10ng-4_S16_L005_R1_001	24-Quanta-10ng-4_S16_L005_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	87.79330164467048	fail	0.0	fail	151.0	79889801.0	pass	pass	151.0	41.0	pass
24-Quanta-10ng-4_S16_L005_R2_001	24-Quanta-10ng-4_S16_L005_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	88.52060923908488	fail	0.0	fail	151.0	79889801.0	pass	pass	151.0	41.0	pass
24-Quanta-10ng-4_S16_L006_R1_001	24-Quanta-10ng-4_S16_L006_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	88.1583561025353	fail	0.0	fail	151.0	77545839.0	pass	pass	151.0	41.0	pass
24-Quanta-10ng-4_S16_L006_R2_001	24-Quanta-10ng-4_S16_L006_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	88.61933876371624	fail	0.0	fail	151.0	77545839.0	pass	pass	151.0	41.0	pass
24-Quanta-10ng-4_S16_L007_R1_001	24-Quanta-10ng-4_S16_L007_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	87.56489324871214	fail	0.0	fail	151.0	81549019.0	pass	pass	151.0	41.0	pass
24-Quanta-10ng-4_S16_L007_R2_001	24-Quanta-10ng-4_S16_L007_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	88.82471224191364	fail	0.0	fail	151.0	81549019.0	pass	pass	151.0	41.0	pass
24-Quanta-10ng-4_S16_L008_R1_001	24-Quanta-10ng-4_S16_L008_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	88.17003547560047	fail	0.0	fail	151.0	75252034.0	pass	pass	151.0	41.0	pass
24-Quanta-10ng-4_S16_L008_R2_001	24-Quanta-10ng-4_S16_L008_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	89.24349394322616	fail	0.0	fail	151.0	75252034.0	pass	pass	151.0	41.0	pass
25-Nextera-100ng-1_S1_L001_R1_001	25-Nextera-100ng-1_S1_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.3000395749507	fail	0.0	fail	151.0	46816322.0	pass	pass	151.0	40.0	pass
25-Nextera-100ng-1_S1_L001_R2_001	25-Nextera-100ng-1_S1_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	92.62091520922691	fail	0.0	fail	151.0	46816322.0	pass	pass	151.0	41.0	pass
25-Nextera-100ng-1_S1_L002_R1_001	25-Nextera-100ng-1_S1_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.22536151580528	fail	0.0	fail	151.0	47451004.0	pass	pass	151.0	41.0	pass
25-Nextera-100ng-1_S1_L002_R2_001	25-Nextera-100ng-1_S1_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	93.09022519251688	fail	0.0	fail	151.0	47451004.0	pass	pass	151.0	41.0	pass
25-Nextera-100ng-1_S1_L003_R1_001	25-Nextera-100ng-1_S1_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	pass	91.34179673226932	fail	0.0	fail	151.0	47306628.0	pass	pass	151.0	41.0	pass
25-Nextera-100ng-1_S1_L003_R2_001	25-Nextera-100ng-1_S1_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	94.75949798343541	fail	0.0	fail	151.0	47306628.0	pass	pass	151.0	41.0	pass
25-Nextera-100ng-1_S1_L004_R1_001	25-Nextera-100ng-1_S1_L004_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	90.88180593260948	fail	0.0	fail	151.0	51225309.0	pass	pass	151.0	41.0	pass
25-Nextera-100ng-1_S1_L004_R2_001	25-Nextera-100ng-1_S1_L004_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.71451742917827	fail	0.0	fail	151.0	51225309.0	pass	pass	151.0	41.0	pass
26-Nextera-100ng-2_S2_L001_R1_001	26-Nextera-100ng-2_S2_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.62602141652016	fail	0.0	fail	151.0	41837500.0	pass	pass	151.0	40.0	pass
26-Nextera-100ng-2_S2_L001_R2_001	26-Nextera-100ng-2_S2_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	93.29367314171098	fail	0.0	fail	151.0	41837500.0	pass	pass	151.0	41.0	pass
26-Nextera-100ng-2_S2_L002_R1_001	26-Nextera-100ng-2_S2_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.48752387002308	fail	0.0	fail	151.0	42795518.0	pass	pass	151.0	40.0	pass
26-Nextera-100ng-2_S2_L002_R2_001	26-Nextera-100ng-2_S2_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	93.57974616538607	fail	0.0	fail	151.0	42795518.0	pass	pass	151.0	41.0	pass
26-Nextera-100ng-2_S2_L003_R1_001	26-Nextera-100ng-2_S2_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	pass	91.59066273411185	fail	0.0	fail	151.0	42844175.0	pass	pass	151.0	40.0	pass
26-Nextera-100ng-2_S2_L003_R2_001	26-Nextera-100ng-2_S2_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	95.19184868253524	fail	0.0	fail	151.0	42844175.0	pass	pass	151.0	41.0	pass
26-Nextera-100ng-2_S2_L004_R1_001	26-Nextera-100ng-2_S2_L004_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	90.97984505034258	fail	0.0	fail	151.0	45618176.0	pass	pass	151.0	41.0	pass
26-Nextera-100ng-2_S2_L004_R2_001	26-Nextera-100ng-2_S2_L004_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	92.2766735181478	fail	0.0	fail	151.0	45618176.0	pass	pass	151.0	41.0	pass
27-Nextera-100ng-3_S3_L001_R1_001	27-Nextera-100ng-3_S3_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	92.32814298361339	fail	0.0	fail	151.0	36267455.0	pass	pass	151.0	41.0	pass
27-Nextera-100ng-3_S3_L001_R2_001	27-Nextera-100ng-3_S3_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	94.34328034980587	fail	0.0	fail	151.0	36267455.0	pass	pass	151.0	41.0	pass
27-Nextera-100ng-3_S3_L002_R1_001	27-Nextera-100ng-3_S3_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	92.11966893156706	fail	0.0	fail	151.0	36819085.0	pass	pass	151.0	41.0	pass
27-Nextera-100ng-3_S3_L002_R2_001	27-Nextera-100ng-3_S3_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	94.49583924412185	fail	0.0	fail	151.0	36819085.0	pass	pass	151.0	41.0	pass
27-Nextera-100ng-3_S3_L003_R1_001	27-Nextera-100ng-3_S3_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	pass	92.02553284038437	fail	0.0	fail	151.0	36970518.0	pass	pass	151.0	41.0	pass
27-Nextera-100ng-3_S3_L003_R2_001	27-Nextera-100ng-3_S3_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	95.87984743267862	fail	0.0	fail	151.0	36970518.0	pass	pass	151.0	41.0	pass
27-Nextera-100ng-3_S3_L004_R1_001	27-Nextera-100ng-3_S3_L004_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	92.06046360466667	fail	0.0	fail	151.0	38524244.0	pass	pass	151.0	41.0	pass
27-Nextera-100ng-3_S3_L004_R2_001	27-Nextera-100ng-3_S3_L004_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	93.30299922450827	fail	0.0	fail	151.0	38524244.0	pass	pass	151.0	41.0	pass
28-Nextera-100ng-4_S4_L001_R1_001	28-Nextera-100ng-4_S4_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.72646397424498	fail	0.0	fail	151.0	43207296.0	pass	pass	151.0	41.0	pass
28-Nextera-100ng-4_S4_L001_R2_001	28-Nextera-100ng-4_S4_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	94.04368578311168	fail	0.0	fail	151.0	43207296.0	pass	pass	151.0	41.0	pass
28-Nextera-100ng-4_S4_L002_R1_001	28-Nextera-100ng-4_S4_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.65182085718496	fail	0.0	fail	151.0	44146139.0	pass	pass	151.0	41.0	pass
28-Nextera-100ng-4_S4_L002_R2_001	28-Nextera-100ng-4_S4_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	94.43225497516059	fail	0.0	fail	151.0	44146139.0	pass	pass	151.0	41.0	pass
28-Nextera-100ng-4_S4_L003_R1_001	28-Nextera-100ng-4_S4_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	pass	91.61623555380146	fail	0.0	fail	151.0	44295376.0	pass	pass	151.0	41.0	pass
28-Nextera-100ng-4_S4_L003_R2_001	28-Nextera-100ng-4_S4_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	95.99454259920891	fail	0.0	fail	151.0	44295376.0	pass	pass	151.0	41.0	pass
28-Nextera-100ng-4_S4_L004_R1_001	28-Nextera-100ng-4_S4_L004_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	91.51589366405295	fail	0.0	fail	151.0	46131973.0	pass	pass	151.0	41.0	pass
28-Nextera-100ng-4_S4_L004_R2_001	28-Nextera-100ng-4_S4_L004_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	93.06260581835704	fail	0.0	fail	151.0	46131973.0	pass	pass	151.0	41.0	pass
29-Nextera-10ng-1_S5_L001_R1_001	29-Nextera-10ng-1_S5_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	90.48239796487334	fail	0.0	fail	151.0	55521900.0	pass	pass	151.0	40.0	pass
29-Nextera-10ng-1_S5_L001_R2_001	29-Nextera-10ng-1_S5_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.49337483934025	fail	0.0	fail	151.0	55521900.0	pass	pass	151.0	41.0	pass
29-Nextera-10ng-1_S5_L002_R1_001	29-Nextera-10ng-1_S5_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	90.41877976154177	fail	0.0	fail	151.0	56103558.0	pass	pass	151.0	40.0	pass
29-Nextera-10ng-1_S5_L002_R2_001	29-Nextera-10ng-1_S5_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.84900155116487	fail	0.0	fail	151.0	56103558.0	pass	pass	151.0	41.0	pass
29-Nextera-10ng-1_S5_L003_R1_001	29-Nextera-10ng-1_S5_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	pass	90.1858952281994	fail	0.0	fail	151.0	56368136.0	pass	pass	151.0	40.0	pass
29-Nextera-10ng-1_S5_L003_R2_001	29-Nextera-10ng-1_S5_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	93.14077951560132	fail	0.0	fail	151.0	56368136.0	pass	pass	151.0	41.0	pass
29-Nextera-10ng-1_S5_L004_R1_001	29-Nextera-10ng-1_S5_L004_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	90.32697723790636	fail	0.0	fail	151.0	56625634.0	pass	pass	151.0	41.0	pass
29-Nextera-10ng-1_S5_L004_R2_001	29-Nextera-10ng-1_S5_L004_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	90.99950289750386	fail	0.0	fail	151.0	56625634.0	pass	pass	151.0	41.0	pass
3-Swift2S-100ng-3_S7_L005_R1_001	3-Swift2S-100ng-3_S7_L005_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.03196423534297	fail	0.0	warn	151.0	40186078.0	pass	pass	151.0	42.0	pass
3-Swift2S-100ng-3_S7_L005_R2_001	3-Swift2S-100ng-3_S7_L005_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.77770885411692	fail	0.0	warn	151.0	40186078.0	pass	pass	151.0	42.0	pass
3-Swift2S-100ng-3_S7_L006_R1_001	3-Swift2S-100ng-3_S7_L006_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.55610997163033	fail	0.0	warn	151.0	40685342.0	pass	pass	151.0	42.0	pass
3-Swift2S-100ng-3_S7_L006_R2_001	3-Swift2S-100ng-3_S7_L006_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.14451808148671	fail	0.0	warn	151.0	40685342.0	pass	pass	151.0	42.0	pass
3-Swift2S-100ng-3_S7_L007_R1_001	3-Swift2S-100ng-3_S7_L007_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.07705410001307	fail	0.0	warn	151.0	39823754.0	pass	pass	151.0	42.0	pass
3-Swift2S-100ng-3_S7_L007_R2_001	3-Swift2S-100ng-3_S7_L007_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.53474716722053	fail	0.0	warn	151.0	39823754.0	pass	pass	151.0	42.0	pass
3-Swift2S-100ng-3_S7_L008_R1_001	3-Swift2S-100ng-3_S7_L008_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	93.33822428569889	fail	0.0	warn	151.0	39950264.0	pass	pass	151.0	42.0	pass
3-Swift2S-100ng-3_S7_L008_R2_001	3-Swift2S-100ng-3_S7_L008_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.65612607073845	fail	0.0	warn	151.0	39950264.0	pass	pass	151.0	42.0	pass
30-Nextera-10ng-2_S6_L001_R1_001	30-Nextera-10ng-2_S6_L001_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	90.59913812758735	fail	0.0	fail	151.0	48886716.0	pass	pass	151.0	40.0	pass
30-Nextera-10ng-2_S6_L001_R2_001	30-Nextera-10ng-2_S6_L001_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	91.92560309336984	fail	0.0	fail	151.0	48886716.0	pass	pass	151.0	40.0	pass
30-Nextera-10ng-2_S6_L002_R1_001	30-Nextera-10ng-2_S6_L002_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	90.5096243431635	fail	0.0	fail	151.0	48805017.0	pass	pass	151.0	40.0	pass
30-Nextera-10ng-2_S6_L002_R2_001	30-Nextera-10ng-2_S6_L002_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	pass	92.50710899789823	fail	0.0	fail	151.0	48805017.0	pass	pass	151.0	40.0	pass
30-Nextera-10ng-2_S6_L003_R1_001	30-Nextera-10ng-2_S6_L003_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	pass	90.58737806163406	fail	0.0	fail	151.0	49146021.0	pass	pass	151.0	40.0	pass
30-Nextera-10ng-2_S6_L003_R2_001	30-Nextera-10ng-2_S6_L003_R2_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	93.8331678325412	fail	0.0	fail	151.0	49146021.0	pass	pass	151.0	40.0	pass
30-Nextera-10ng-2_S6_L004_R1_001	30-Nextera-10ng-2_S6_L004_R1_001.fastq.gz	pass	pass	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	pass	90.3329447742229	fail	0.0	fail	151.0	48558445.0	pass	pass	151.0	40.0	pass
